title,link,salary,location
Quantum ERP Systems Analyst,https://www.sherlocktalent.com/job/7288-quantum-erp-systems-analyst/,Depends on Experience,Phoenix
IT Project Manager,https://www.sherlocktalent.com/job/7282-it-project-manager/,Depends on Experience,Glendale
IT Support Manager,https://www.sherlocktalent.com/job/7281-it-support-manager/,$95000,Coral Gables
IT Implementation Specialist,https://www.sherlocktalent.com/job/7279-it-implementation-specialist/,Depends on Experience,Glendale
IT Business Analyst,https://www.sherlocktalent.com/job/7278-it-business-analyst/,Depends on Experience,Glendale
Business Analyst (IT Architect),https://www.sherlocktalent.com/job/7273-business-analyst-it-architect/,$110000,Maryland / Virginia
SAP Consultant – Vistex Pricing,https://www.sherlocktalent.com/job/7272-sap-consultant-vistex-pricing/,Depends on Experience,REMOTE
"SAP Operations Functional  Consultant  – MM, WM, PTP, knowledge",https://www.sherlocktalent.com/job/7271-sap-operations-functional-consultant-mm-wm-ptp-knowledge/,Depends on Experience,REMOTE
SAP ABAP Developer,https://www.sherlocktalent.com/job/7270-sap-abap-developer/,Depends on Experience,REMOTE
SAP FICO Functional Consultant,https://www.sherlocktalent.com/job/7269-sap-fico-functional-consultant/,Depends on Experience,Los Angeles
SAP SD Functional Consultant,https://www.sherlocktalent.com/job/7268-sap-sd-functional-consultant/,Depends on Experience,REMOTE
SAP Workstream Implementation Project /Program Manager,https://www.sherlocktalent.com/job/7267-sap-workstream-implementation-project-program-manager/,Depends on Experience,REMOTE
DevOps Engineer,https://www.sherlocktalent.com/job/7266-devops-engineer/,$140000,Miramar
Software Developer C#/SQL,https://www.sherlocktalent.com/job/7261-software-developer-c-sql/,$100000,Ft. Lauderdale
AWS DevOps Lift & Shift Expert,https://www.sherlocktalent.com/job/7260-aws-devops-lift-shift-expert/,Depends on Experience,Remote
Azure API Developer,https://www.sherlocktalent.com/job/7258-azure-api-developer/,Depends on Experience,Remote
EDI Analyst,https://www.sherlocktalent.com/job/7255-edi-analyst/,Depends on Experience,Sunrise
"SAP contract Program Manager Finance, Procurement, SD, OTC, Warehouse",https://www.sherlocktalent.com/job/7254-sap-contract-program-manager-finance-procurement-sd-otc-warehouse/,Depends on Experience,Los Angeles
"Software Engineer, Flask APIs, Python, SQL and AWS  – 100% REMOTE",https://www.sherlocktalent.com/job/7253-software-engineer-flask-apis-python-sql-and-aws-100-remote/,$130000,REMOTE
Software Engineer with Node Mongo React,https://www.sherlocktalent.com/job/7248-software-engineer-with-node-mongo-react/,$125000,Hollywood
Computer Technician II,https://www.sherlocktalent.com/job/7245-computer-technician-ii/,$65000,Coconut Creek
MSP Network Admin Level 2 Support,https://www.sherlocktalent.com/job/7243-msp-network-admin-level-2-support/,$85000,Sunrise
C# Developer / Mid Level / Hybrid onsite – Coral Gables,https://www.sherlocktalent.com/job/7240-c-developer-mid-level-hybrid-onsite-coral-gables/,$125000,Coral Gables 2 days onsite
Java Developer Mid – Level (Contract) (Remote),https://www.sherlocktalent.com/job/7239-java-developer-mid-level-contract-remote/,Depends on Experience,REMOTE
"Software Engineering Manager Practice Lead 1, Full Stack Java",https://www.sherlocktalent.com/job/7238-software-engineering-manager-practice-lead-1-full-stack-java/,$220000,South Florida Hybrid
Android Java Kotlin Mobile Developer,https://www.sherlocktalent.com/job/7236-android-java-kotlin-mobile-developer/,$160000,Hybrid South Florida
"DevX/DevOps Platform Developer Java, React, Node, Python, JavaScript or others, GITHUB",https://www.sherlocktalent.com/job/7234-devx-devops-platform-developer-java-react-node-python-javascript-or-others-github/,$160000,South Florida Hybrid
Sr. Software Engineer (.NET) 100% Remote,https://www.sherlocktalent.com/job/7230-sr-software-engineer-net-100-remote/,$160000,100% Remote
Integrations Software Engineer (.NET) 100% Remote,https://www.sherlocktalent.com/job/7229-integrations-software-engineer-net-100-remote/,$140000,100% Remote
Full-Stack Team Lead (.NET),https://www.sherlocktalent.com/job/7228-full-stack-team-lead-net/,$160000,100% Remote
.NET Director of Engineering 100% Remote,https://www.sherlocktalent.com/job/7227-net-director-of-engineering-100-remote/,$200000,100% Remote
Process Automation Developer,https://www.sherlocktalent.com/job/7226-process-automation-developer/,$100000,Boca Raton
Project Manager,https://www.sherlocktalent.com/job/7223-project-manager/,$120000,Ft. Lauderdale
Senior Software Engineer Full Stack Java,https://www.sherlocktalent.com/job/7221-senior-software-engineer-full-stack-java/,$180000,South Florida Hybrid
Software Engineer Full Stack Java,https://www.sherlocktalent.com/job/7220-software-engineer-full-stack-java/,$160000,South Florida Hybrid
Data Architect – Financial Trading Domain Expertise,https://www.sherlocktalent.com/job/7218-data-architect-financial-trading-domain-expertise/,$300000,REMOTE
QA Manual Tester,https://www.sherlocktalent.com/job/7216-qa-manual-tester/,$80000,Ft lauderdale
"QA Test Automation, Manager",https://www.sherlocktalent.com/job/7215-qa-test-automation-manager/,$160000,Ft Lauderdale
Oracle DBA,https://www.sherlocktalent.com/job/7212-oracle-dba/,Depends on Experience,REMOTE
Senior .NET Azure SAP Developer,https://www.sherlocktalent.com/job/7211-senior-net-azure-sap-developer/,$150000,REMOTE
"Director, IT Architecture and Compliance",https://www.sherlocktalent.com/job/7210-director-it-architecture-and-compliance/,Depends on Experience,REMOTE
.NET Azure Cloud Developer,https://www.sherlocktalent.com/job/7194-net-azure-cloud-developer/,Depends on Experience,Hialeah
Manager/Director of Software Engineering,https://www.sherlocktalent.com/job/7193-manager-director-of-software-engineering/,Depends on Experience,Ft. Lauderdale
"Blazor Developer, 100% Remote, 40 hr/wk, your choice of when",https://www.sherlocktalent.com/job/7184-blazor-developer-100-remote-40-hr-wk-your-choice-of-when/,Depends on Experience,Miami
Development Operations Leader,https://www.sherlocktalent.com/job/7183-development-operations-leader/,$250000,REMOTE
"Leadership role, Senior Java Back End Engineer, Team Leader",https://www.sherlocktalent.com/job/7182-leadership-role-senior-java-back-end-engineer-team-leader/,$250000,REMOTE
"Full Stack JavaScript/Node Developer, 100% Remote",https://www.sherlocktalent.com/job/7178-full-stack-javascript-node-developer-100-remote/,Depends on Experience,REMOTE
"Senior Back End/PHP, 100% Remote",https://www.sherlocktalent.com/job/7174-senior-back-end-php-100-remote/,$140000,REMOTE
Scrum Master,https://www.sherlocktalent.com/job/7172-scrum-master/,Depends on Experience,Boca Raton
Business / Data Analyst,https://www.sherlocktalent.com/job/7171-business-data-analyst/,Depends on Experience,REMOTE
Data Scientist and Analytics Engineer,https://www.sherlocktalent.com/job/7170-data-scientist-and-analytics-engineer/,Depends on Experience,REMOTE
Senior React Developer,https://www.sherlocktalent.com/job/7169-senior-react-developer/,$300000,Miami
"QA Automation Engineer, 100% Remote",https://www.sherlocktalent.com/job/7159-qa-automation-engineer-100-remote/,$120000,REMOTE
"C++ Developer, 100% Remote",https://www.sherlocktalent.com/job/7157-c-developer-100-remote/,$170000,REMOTE
DevOps with EDA,https://www.sherlocktalent.com/job/7156-devops-with-eda/,$150000,REMOTE
Full Stack Engineer/React-Redux,https://www.sherlocktalent.com/job/7155-full-stack-engineer-react-redux/,$140000,REMOTE
"Senior Application Developer, 100% Remote",https://www.sherlocktalent.com/job/7153-senior-application-developer-100-remote/,Depends on Experience,Miami
Senior QA Software/ Hardware Tester,https://www.sherlocktalent.com/job/7152-senior-qa-software-hardware-tester/,Depends on Experience,Boca Raton/Hybrid
Front End Dev Angular,https://www.sherlocktalent.com/job/7151-front-end-dev-angular/,Depends on Experience,Boca Raton/Hybrid
Senior .NET Developer – On-site,https://www.sherlocktalent.com/job/7150-senior-net-developer-on-site/,$170000,Boca Raton/Hybrid
Python Backend Developer Data Engineer 100% Remote,https://www.sherlocktalent.com/job/7148-python-backend-developer-data-engineer-100-remote/,$120000,Hollywood
Junior Backend Engineer,https://www.sherlocktalent.com/job/7147-junior-backend-engineer/,Depends on Experience,REMOTE
Sr. Frontend Engineer (REMOTE),https://www.sherlocktalent.com/job/7146-sr-frontend-engineer-remote/,Depends on Experience,REMOTE
Excellent Career move for Software Business Analyst,https://www.sherlocktalent.com/job/7145-excellent-career-move-for-software-business-analyst/,Depends on Experience,REMOTE
Machine Learning Engineer 100% Remote,https://www.sherlocktalent.com/job/7143-machine-learning-engineer-100-remote/,Depends on Experience,Hollywood
Software Implementation Specialist needed for Growing Software company,https://www.sherlocktalent.com/job/7142-software-implementation-specialist-needed-for-growing-software-company/,Depends on Experience,Fort Lauderdale
"Sr. Front End Developer, 100% Remote",https://www.sherlocktalent.com/job/7140-sr-front-end-developer-100-remote/,$110000,Remote
MicrsoStrategy Consultant/Developer,https://www.sherlocktalent.com/job/7138-micrsostrategy-consultant-developer/,Depends on Experience,REMOTE
Azure Solution Architect/Sales Engineer,https://www.sherlocktalent.com/job/7137-azure-solution-architect-sales-engineer/,Depends on Experience,REMOTE
AWS Solution Architect / Sales Engineer,https://www.sherlocktalent.com/job/7136-aws-solution-architect-sales-engineer/,Depends on Experience,REMOTE
"Senior Java Test Engineer, 100% remote",https://www.sherlocktalent.com/job/7135-senior-java-test-engineer-100-remote/,$130000,Boca Raton
Power BI – Dashboard Data Analyst,https://www.sherlocktalent.com/job/7134-power-bi-dashboard-data-analyst/,Depends on Experience,Miami
Senior Java Spring Lombok Engineer,https://www.sherlocktalent.com/job/7131-senior-java-spring-lombok-engineer/,$150000,Hollywood
Senior QA Test Automation Engineer,https://www.sherlocktalent.com/job/7129-senior-qa-test-automation-engineer/,$150000,Ft lauderdale
Senior Front-End Engineer 100% Remote,https://www.sherlocktalent.com/job/7128-senior-front-end-engineer-100-remote/,$130000,REMOTE
DevOps Engineer,https://www.sherlocktalent.com/job/7127-devops-engineer-2/,$150000,REMOTE
"Senior Backend Developer/PHP, 100% Remote",https://www.sherlocktalent.com/job/7126-senior-backend-developer-php-100-remote/,$140000,REMOTE
Algorand Engineer / Blockchain,https://www.sherlocktalent.com/job/7121-algorand-engineer-blockchain/,Depends on Experience,REMOTE
Financial Technologist / Azure DevOps Business Analyst,https://www.sherlocktalent.com/job/7117-financial-technologist-azure-devops-business-analyst/,Depends on Experience,Boca Raton
JavaScript Jedi (REMOTE),https://www.sherlocktalent.com/job/7116-javascript-jedi-remote/,$130000,Boca Raton
Head of Marketing,https://www.sherlocktalent.com/job/7114-head-of-marketing/,Depends on Experience,Fort Lauderdale
Telecom Engineer,https://www.sherlocktalent.com/job/7110-telecom-engineer/,$100000,Ft. Lauderdale
Front End Engineer,https://www.sherlocktalent.com/job/7107-front-end-engineer/,Depends on Experience,Ft. Lauderdale
"Manager of IT, Support Services",https://www.sherlocktalent.com/job/7101-manager-of-it-support-services/,$90000,Ft. Lauderdale
CyberSecurity Risk Analyst,https://www.sherlocktalent.com/job/7091-cybersecurity-risk-analyst/,$100000,Delray Beach
